document,tag,content
AJP,Accuracy,"Journalists exercise caution when using AI: its use does not guarantee the truthfulness, reliability, quality, authenticity or impartiality of this content."
AJP,Accuracy,"the use and development of AI in the journalistic sector must be dominated by the key values of journalistic ethics: truthfulness, accuracy, fairness, impartiality, independence, non-harm, non-discrimination, accountability, respect for privacy and confidentiality of sources."
Blick,Accuracy,"The AI tools and technologies developed, integrated or used by Ringier should be fair, impartial and non-discriminatory."
Der Spiegel,Accuracy,"We never use artificial intelligence in our own products without supervision or clear rules and check whether the result meets our strict standards of factual accuracy, balance and critical independence."
Financial Times,Accuracy,accuracy
Impress,Accuracy,"The publisher should: (a) be aware of the use of artificial intelligence (AI) and other technology to create and circulate false content (for example, deepfakes), and exercise human editorial oversight to reduce the risk of publishing such content;"
Impress,Accuracy,exercise editorial oversight to ensure the accuracy of any content produced by an AI system;
Keystone - ATS,Accuracy,Quality and accuracy of content assured
Keystone - ATS,Accuracy,requirements quality and obligation of identification
Mediafin,Accuracy,"The journalist and the editor-in-chief remain entirely responsible for the accuracy of the information published. Nothing appears without having been read, reread and validated by a journalist and an editor."
Mediafin,Accuracy,Reliability is at the heart of our editorial promise. The principles of cross-checking and double-checking remain the foundation of information collection.
Roularta,Accuracy,"All our editorial publications are synonymous with quality, reliable and relevant information. The continuity of this position is essential to guarantee the accuracy of information and must remain our compass."
Roularta,Accuracy,"As with all editorial content, we want to guard against any risk of error or copyright infringement."
The Guardian,Accuracy,"it is not reliable or consistent, and tends to introduce errors and inaccuracies in unpredictable ways."
Aftonbladet,Autonomy high,"In the rare cases where we publish AI-generated material, this will be clearly stated."
RVDJ,Autonomy high,Editorial choices play a role in such partially or fully automated processes
Blick,Autonomy low,"The information is verified, checked and supplemented using our own judgment and specialist knowledge."
CDJM France,Autonomy low,Content generated in its entirety by AI tools cannot be published or distributed without editorial control Publishers
Dagens Næringsliv,Autonomy low,"DN’s journalists can use language models as a tool, but the text must always be processed by a human and go through ordinary source work."
De Volksrant,Autonomy low,"artificial intelligence (AI) as a tool, never as a system that can replace the work of a journalist"
De Volksrant,Autonomy low,"That said, artificial intelligence can serve as a tool for final editing, research and as a tool. For example, to transcribe audio recordings of an interview, to have texts translated or to have stories narrated by synthetic voices so that readers can listen to them."
DJV,Autonomy low,no substitution of human performance
France Info,Autonomy low,is not the automated production of content
Le Monde,Autonomy low,Article 1 guarantees readers that no editorial content can be designed outside of the communities of human intelligence that constitute the editorial offices of the Le Monde Group.
Le Monde,Autonomy low,"The use of generative AI is only authorized, under strictly regulated conditions, as a tool to assist editorial production"
RTS,Autonomy low,"Our use of artificial intelligence is not intended to produce content fully automated. Its aim is to strengthen the capacities of professionals enabling them to work more efficiently, so they can spend more time"
STT,Autonomy low,"Don’t let the AI decide for you,"
Swiss Press Council,Autonomy low,Journalists must therefore exercise vigilance and restraint in using these programs to ensure reliable journalism.
The Guardian,Autonomy low,AI systems should not be used to generate text or images intended to be directly inserted into published journalism outside of exceptional and specific circumstances.
Usbek & Rica,Autonomy low,"We do, however, reserve the right to quote a few lines generated by such a tool as part, for example, of an article on the performance of artificial intelligence in writing (provided that such an article is written and edited by a Usbek & Rica journalist)."
AJP,Autonomy medium,"ll internal recommendations on the use of artificial intelligence must be validated by a body representative of the editorial staff (company of editors, journalists, etc. or an ad hoc committee in their absence)"
CDJM France,Autonomy medium,Content generated in its entirety by AI tools cannot be published or distributed without editorial control Publishers
Dagbladet,Autonomy medium,"Dagbladet shall not use AI to create photorealistic images or video. If Dagbladet exceptionally uses AI-generated images, they must not be confused with real photographs or videos"
Groupe Les Echos-Le Parisien,Autonomy medium,"In this case, we will explicitly mention the origin of the content."
Redaktørforeningens,Autonomy medium,Any fully automated services must be considered very carefully
VG,Autonomy medium,"VG may, however, use AI to generate illustrations/graphics/modelling. This must be clearly labelled and, until further notice, specifically approved by the editor."
AJP,Copyright,"the use and development of AI in the journalistic sector must be dominated by the key values of journalistic ethics: truthfulness, accuracy, fairness, impartiality, independence, non-harm, non-discrimination, accountability, respect for privacy and confidentiality of sources."
AJP,Copyright,"In terms of copyright, generative AI poses numerous problems which are not yet met by the legal framework, or are only partially met: use by harvesting of works protected by copyright, without the knowledge of the authors"
BBC,Copyright,"Respecting Rights: Creators, contributors and suppliers play a vital role in our industry. We will consider the rights of creators, artists, contributors and rights holders when using AI. We will make sure our use of AI respects the data protection and privacy rights of individuals."
Blick,Copyright,"lick ensures that no copyrights, personal rights, data protection regulations, confidentiality obligations or other rights and laws are violated."
Dagens Næringsliv,Copyright,illustrations must be clearly labeled with the source and relevant background information. They are labeled to avoid reuse.
Dagens Næringsliv,Copyright,"Rights around AI-generated images are still unclear, and the technology should therefore be used with caution."
De Volksrant,Copyright,"Rights holders have often not given permission to use their material for training. With both text and images, the Volkskrant explicitly weighs in that employees create something new and depend on their creative ability in their livelihood."
Der Spiegel,Copyright,"It is just as important to prevent the media from hiding behind a purely regulatory and ancillary copyright debate as we all have an interest in ensuring that the large technology platforms, as drivers of innovation, are aware of their special responsibility in the use of artificial intelligence."
Le Figaro,Copyright,Defense of copyright
Le Figaro,Copyright,"our content is our property,"
Mediafin,Copyright,"WE ALWAYS RESPECT PRIVACY, SECURITY AND COPYRIGHT"
Mediahuis,Copyright,"Respect copyrights, especially when AI imitates a recognizable style or content."
Redaktørforeningens,Copyright,Protect the credibility of documentary photography
Roularta,Copyright,"As with all editorial content, we want to guard against any risk of error or copyright infringement."
RTS,Copyright,generators on the market pose serious ethical problems both in terms of issues related to bias and copyright.
SVT,Copyright,"This includes ensuring that the generative AI service, as expressed in its terms of use, specifies who owns any eventual rights to the created content and how it may be used in media production."
Swiss Press Council,Copyright,"Copyright must be respected,"
The Guardian,Copyright,"Material created using generative AI raises significant issues around bias, ownership, plagiarism and intellectual property rights"
Usbek & Rica,Copyright,"not to publish images generated by artificial intelligence tools “in the style of”, in order to preserve as far as possible the singularity of the work of each image and video creator,"
YLE,Copyright,"We respect copyright. When we use AI, we take copyright into account and the rights of people working on creative tasks"
DJV,Data quality,"The editorial team that has journalistic content created with the help of artificial intelligence using data bears responsibility for the data material on which the automatically generated content is based. The respective editorial office is responsible for ensuring that the content of the data material used is correct and complete. Data collection, preparation and processing must meet high qualitative standards. Incompleteness, distortions and other errors in the data material must be corrected immediately."
Aftonbladet,Experimentation,at the forefront of new technology and we encourage our employees to use it in their work
ANP,Experimentation,"every member of the ANP editorial team looks at AI and related systems: full of wonder, inquisitive, critical and open to developments."
ANP,Experimentation,cautious experimentation
Dagbladet,Experimentation,Dagbladet encourages all employees to be open and curious when encountering AI.
Dagens Næringsliv,Experimentation,"To succeed, we must experiment, evaluate and learn about new technology."
Der Spiegel,Experimentation,"In any case, we want to approach the possibilities that AI systems offer with great openness and encourage our teams as well as individual employees to deal with them."
Der Spiegel,Experimentation,"to identify opportunities and risks early through joint experimentation,"
DPA,Experimentation,"encourages all employees to be open and curious about the possibilities of AI, to test tools and make suggestions for their use"
Financial Times,Experimentation,"It is important and necessary for the FT to have a team in the newsroom that can experiment responsibly with AI tools to assist journalists in tasks such as mining data, analysing text and images and translation"
Mediafin,Experimentation,"The editorial staff of L’Écho and Le Tijd are constantly looking for new ways to improve their journalistic work. If AI applications can help us, we adopt them."
Mediafin,Experimentation,"The editorial staff of L’Écho and Le Tijd are constantly looking for new ways to improve their journalistic work. If AI applications can help us, we adopt them."
STT,Experimentation,"It is therefore worth experimenting, asking questions and increasing understanding."
STT,Experimentation,"Early experimentation helps to understand AI STT experimented with text generation using AI models several years ago, one of the first media houses in the world to do so."
YLE,Experimentation,We boldly experiment with its possibilities to create new media experiences and update our working methods.
BBC,Explainability,Transparency & Clear Explanations:
BBC,Explainability,"We will make sure they can understand why we use it, how it works and how it affects them."
DPA,Explainability,"Where content is generated exclusively by AI, we make this transparent and explainable."
SVT,Explainability,"transparent about our use of AI and, for example, respond to questions from the audience."
AJP,Fairness,"the use and development of AI in the journalistic sector must be dominated by the key values of journalistic ethics: truthfulness, accuracy, fairness, impartiality, independence, non-harm, non-discrimination, accountability, respect for privacy and confidentiality of sources."
ANP,Fairness,to maintain a completely impartial and independent agency for the objective provision of domestic and foreign news reports to the Dutch media
BBC,Fairness,"Fairness: Our use of AI will be fair, equitable and inclusive for our audiences and staff. We will make sure that everyone has the opportunity to access and benefit from the range of content and services we provide and use."
Blick,Fairness,"The AI tools and technologies developed, integrated or used by Ringier should be fair, impartial and non-discriminatory."
DPA,Fairness,fairness
Financial Times,Fairness,fairness
Mediahuis,Fairness,Be fair & without bias
Ringier,Fairness,"AI tools and technologies developed, integrated or used by Ringier shall always be fair, impartial and non-discriminatory. For this reason, Ringier’s own AI tools, technologies and integrations are subject to regular review."
YLE,Fairness,"legality, fairness, equality and accessibility"
Aftonbladet,Human,"All images, both moving images, still images and illustrations, that are published on Aftonbladet.se are taken by our photographers/image agencies"
AJP,Human,Task automation can have a significant impact on the newspaper industry. AI cannot be a pretext for eliminating jobs.
De Volksrant,Human,"The content of the Volkskrant is created by human editors, reporters, final editors, photographers and illustrators."
DJV,Human,no substitution of human performance
DPA,Human,We respect human autonomy and the primacy of human decisions
Financial Times,Human,"FT journalism in the new AI age will continue to be reported and written by humans who are the best in their fields and who are dedicated to reporting on and analysing the world as it is, accurately and fairly."
Heidi.news,Human,"Heidi.news supports the work of journalists, writers, photographers and illustrators. Our media does not intend to replace them with machines."
Heidi.news,Human,"Every article published is signed by one or more journalists, who remain guarantors of the truthfulness and relevance of the information it contains."
Le Figaro,Human,No AI-generated texts or photos
Le Figaro,Human,all published content will continue to be produced and supervised by journalists from the editorial offices of Le Figaro
Le Monde,Human,n no case can AI replace humans in our journalistic productions and achievements.
Le Monde,Human,the use of generative AI to create images is prohibited
The Guardian,Human,AI systems should not be used to generate text or images intended to be directly inserted into published journalism outside of exceptional and specific circumstances.
Aftonbladet,Human oversight,All material published has been reviewed by a human and falls under our publishing authority
Aftonbladet,Human oversight,"everything we publish is produced, edited and fact-checked by a human"
AJP,Human oversight,"ll internal recommendations on the use of artificial intelligence must be validated by a body representative of the editorial staff (company of editors, journalists, etc. or an ad hoc committee in their absence)"
ANP,Human oversight,"We publish texts, images, graphics or audio generated in any way by computer (or by AI) only with the permission of chiefs and chief editors."
BBC,Human oversight,"Accountability: We will make sure that there is proper supervision of and clear accountability for our use of AI, including our use of content or services provided by others that involve AI."
BBC,Human oversight,"Human Oversight: Our use of AI will be accompanied by effective and informed human oversight, including over the content or data involved as inputs and outputs.”"
Blick,Human oversight,"The information is verified, checked and supplemented using our own judgment and specialist knowledge."
CDJM France,Human oversight,"hey must remain under the direct responsibility of publishers and journalists, and be explicitly indicated to their audience"
CDJM France,Human oversight,"AI tools used to personalise the information delivered must not deprive teams of control over the editorial line Based on browsing data and other personal information, AI tools can modify the experience of users of digital services."
CDJM France,Human oversight,Content generated in its entirety by AI tools cannot be published or distributed without editorial control Publishers
Dagbladet,Human oversight,use of generative AI must be manually approved before it is published.
Dagbladet,Human oversight,. This means that a human must monitor and quality assure the results from the AI tools.
Dagens Næringsliv,Human oversight,Editorial responsibility and press ethics are platform and technology neutral.
Dagens Næringsliv,Human oversight,"DN’s journalists can use language models as a tool, but the text must always be processed by a human and go through ordinary source work."
Dagens Næringsliv,Human oversight,use AI-generated illustrations. This must always be approved by editorial management.
Dagens Næringsliv,Human oversight,"DN’s automated journalism (e.g. the housing robot) is quality assured through rules and article templates. It is therefore published without human approval, and is labeled as automatically generated content."
De Volksrant,Human oversight,"The exception to the above is when the purpose of a publication is to show how an AI system works. If, in the context of such a publication, something is ‘written’ or generated by artificial intelligence, the Volkskrant always explicitly mentions this, indicating where any errors are in the generated work. Such use of generative AI is done only with the permission of chiefs and chief editors."
Der Spiegel,Human oversight,"We never use artificial intelligence in our own products without supervision or clear rules and check whether the result meets our strict standards of factual accuracy, balance and critical independence."
DPA,Human oversight,human supervision
Financial Times,Human oversight,"The team will also consider, always with human oversight, generative AI’s summarising abilities"
Groupe Les Echos-Le Parisien,Human oversight,We do not intend to publish editorial content generated in whole or even in part by an IAG without editorial and human supervision.
Groupe Les Echos-Le Parisien,Human oversight,We do not intend to publish images or videos exclusively generated by the AGI without editorial and human supervision.
Heidi.news,Human oversight,"Editorial staff may use AI to facilitate or improve their work, but human intelligence remains at the heart of all our editorial production. No content will be published without prior human supervision."
Impress,Human oversight,"The publisher should: (a) be aware of the use of artificial intelligence (AI) and other technology to create and circulate false content (for example, deepfakes), and exercise human editorial oversight to reduce the risk of publishing such content;"
Impress,Human oversight,exercise editorial oversight to ensure the accuracy of any content produced by an AI system;
Keystone - ATS,Human oversight,"When AI is used, Keystone-ATS applies the same quality controls as for traditional manual content creation (source verification, double-checking principle)."
Le Figaro,Human oversight,all published content will continue to be produced and supervised by journalists from the editorial offices of Le Figaro
Le Monde,Human oversight,Article 1 guarantees readers that no editorial content can be designed outside of the communities of human intelligence that constitute the editorial offices of the Le Monde Group.
Mediafin,Human oversight,"guaranteeing transparency, human intervention and responsibility in their journalistic practice."
Mediafin,Human oversight,JOURNALISTS ALWAYS HAVE THE LAST WORD
Mediahuis,Human oversight,Human in the loop
Redaktørforeningens,Human oversight,Editorial decisions should be made by humans
